Бренд;Коллекция;Категория;categoryId;Тип соединения;Фаска;Порода дерева;Селекция;Тон;Конструкция;Разновидность
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Темный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Royal Parket;Angle;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Coswick;Оттенки серого;Паркет елка;20014;G&G;четырехсторонняя;Дуб;Селект энд Бэттер;;;Английская
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Таверн;;;
Calitex;Elementals;Кварц-виниловый ламинат;359;замковое соединение;микро фаски;;;Натуральный;;Английская
Alpine Floor;Grand Sequoia Superior;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Sigrid Plus;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Ensten;Valland Parquet;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;Английская
Coswick;Натуральная палитра;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Таверн;;;Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Итальянская
Royal Parket;Authentica;Инженерная доска;263;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Бежевый;Двухслойная (дуб+фанера);Французская
Coswick;Натуральная палитра;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Рустик;;Трехслойная (дуб+хвоя+хвоя);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Прайм;Темный;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Серый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Royal Parket;Angle;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Английская
Coswick;Оттенки серого;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;Английская
Coswick;;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Натур;;Трехслойная(дуб+береза+береза);
Calitex;Elementals;Кварц-виниловый ламинат;359;замковое соединение;микро фаски;;;Серый;;Английская
Alpine Floor;Grand Sequoia Superior;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Sigrid Plus;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Ensten;Hygge;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Coswick;Дизайнерские решения;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Таверн;;;Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Коричневый;Двухслойная (дуб+фанера);Итальянская
Royal Parket;Authentica;Инженерная доска;263;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);Французская
Coswick;Таинственный лес;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Селект;Бежевый;Трехслойная (дуб+хвоя+хвоя);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Прайм;Натуральный;Двухслойная (дуб+дуб);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Коричневый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Светлый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Французская
Royal Parket;Angle;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Coswick;Оттенки серого;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;Английская
Coswick;Натуральная палитра;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Коричневый;;Английская
Alpine Floor;Grand Sequoia Superior;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Sigrid Plus;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Ensten;Hygge;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Coswick;Таинственный лес;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Таверн;;;Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Темный;Двухслойная (дуб+фанера);Итальянская
Royal Parket;Authentica;Инженерная доска;263;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Бежевый;Двухслойная (дуб+фанера);Французская
Coswick;Таинственный лес;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Селект;;Трехслойная (дуб+хвоя+хвоя);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+дуб);
Calitex;Diamonds;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Натуральный;;Английская
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Светлый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Коричневый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Бежевый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);Французская
Pergo;Namsen pad pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Светлый;;Монсоро
Royal Parket;Angle;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Английская
Coswick;Таинственный лес;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;
Calitex;Originals;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Коричневый;;Английская
Alpine Floor;Parquet Premium;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Sigrid Plus;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Ensten;Hygge;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Coswick;Таинственный лес;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Таверн;;;Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Коричневый;Двухслойная (дуб+фанера);Итальянская
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Бежевый;Двухслойная (дуб+фанера);Французская
Coswick;Натуральная палитра;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;Geometry;Модульный паркет;266;пазированная;подетально;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+дуб);
Calitex;Diamonds;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Натуральный;;Английская
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Рустик;Серый;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Светлый;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Рустик;Темный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Серый;Двухслойная (дуб+фанера);Французская
Pergo;Namsen pad pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Бежевый;;Монсоро
Royal Parket;Angle;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Английская
Coswick;Оттенки серого;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Селект энд Бэттер;;;Английская
Coswick;;Паркетная доска;20005;шип-паз;четырехсторонняя;;1 Натур;;;
Alpine Floor;Parquet Premium;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Lagom Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;Английская
Ensten;Valland Parquet;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;Английская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Темный;Двухслойная (дуб+фанера);Английская
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);Французская
Coswick;Таинственный лес;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;Geometry;Модульный паркет;266;пазированная;подетально;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+дуб);
Calitex;Diamonds;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Натуральный;;Английская
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Кантри;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Бежевый;Двухслойная (дуб+фанера);Французская
Royal Parket;Angle;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Английская
Coswick;Оттенки серого;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;1 Коммон;;;Английская
Alpine Floor;Parquet Premium;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Lagom Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;Английская
Ensten;Hygge;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Coswick;Оттенки серого;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;Таверн;;;Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Коричневый;Двухслойная (дуб+фанера);Английская
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Бежевый;Двухслойная (дуб+фанера);Французская
Coswick;Дизайнерские решения;Модульный паркет;266;шип-паз;подетально;Дуб;Селект энд Бэттер;;;Модульный паркет
Lab Arte;Geometry;Модульный паркет;266;пазированная;подетально;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+дуб);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Английская
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Натуральный;Двухслойная (дуб+фанера);Французская
Lab Arte;Chevron;Паркет елка;359;шип-паз;четырехсторонняя;Дуб;Рустик;Темный;Двухслойная (дуб+фанера);Французская
Pergo;Namsen pad pro;Виниловый ламинат;20009;замковое соединение;четырехсторонняя;;;Бежевый;;
Royal Parket;Angle;Паркет елка;265;шип-паз;четырехсторонняя;Дуб;Натур;Бежевый;Двухслойная (дуб+фанера);Английская
Coswick;Дизайнерские решения;Паркет елка;20014;G&G;четырехсторонняя;Дуб;Таверн;;;Английская
Coswick;Таинственный лес;Паркетная доска;20005;шип-паз;четырехсторонняя;Дуб;1 Натур;;;
Alpine Floor;Parquet Premium;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Norland;Lagom Parquet LVT;Кварц-Виниловый ламинат;335;На клей к основанию пола;четырехсторонняя;;;;;Английская
Ensten;Hygge;Кварц-Виниловый ламинат;335;замковое соединение;четырехсторонняя;;;;;
Coswick;Оттенки серого;Паркет елка;20014;шип-паз;четырехсторонняя;Дуб;1 Коммон;;;Французская
Lab Arte;Angle;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Натур;Темный;Двухслойная (дуб+фанера);Английская
Lab Arte;Authentica;Инженерная доска;20006;шип-паз;четырехсторонняя;Дуб;Натур;Натуральный;Двухслойная (дуб+фанера);
Lab Arte;Chevron;Паркет елка;20015;шип-паз;четырехсторонняя;Дуб;Селект;Бежевый;Двухслойная (дуб+фанера);Французская
Lab Arte;Geometry;Модульный паркет;266;пазированная;подетально;Дуб;Рустик;Натуральный;Двухслойная (дуб+фанера);
WoodRock;WoodRock;Кварц-виниловый ламинат;359;замковое соединение;четырехсторонняя микро-фаска;;;Серый;;
Техномассив;Authentica;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Прайм;Светлый;Трехслойная (дуб+дуб+дуб);
Техномассив;Флекс;Инженерная доска;20007;шип-паз;четырехсторонняя;Дуб;Ориджинал;Натуральный;Двухслойная (дуб+дуб);
Calitex;Diamonds;Кварц-виниловый ламинат;359;замковое соединение;V-Фаска;;;Бежевый;;Английская
